train_loss,train_acc,val_loss,val_acc
0.43226128436542827,84.5915602013163,0.25340736643152517,88.85017421602788
0.18176531520381645,94.07665505226481,0.19379167511457732,92.33449477351917
0.1308182158480195,95.39295392953929,0.17005145474548852,92.6829268292683
0.08210859476032517,97.25125822686799,0.27998775910277296,91.63763066202091
0.09604871814299934,97.13511420828495,0.18124118973598038,94.42508710801394
0.07484903746641719,97.32868757259001,0.19184027657845742,93.03135888501743
0.012916496646846519,99.57413859852885,0.11950462295175789,96.16724738675958
0.001990863978626688,100.0,0.12826548298370552,96.51567944250871
0.0011218596117725257,100.0,0.131405519325502,96.51567944250871
0.0006999846776099854,100.0,0.13716444638268716,96.51567944250871
0.0005453820609072751,100.0,0.13779901087016494,96.51567944250871
0.0005190720150702966,100.0,0.13869304438099384,96.51567944250871
